valid_acc_step,step,val_loss,valid_acc_epoch,epoch
0.9453125,0,,,
0.84375,1,,,
0.8359375,2,,,
0.9296875,3,,,
0.96875,4,,,
0.9765625,5,,,
0.9375,6,,,
0.96875,7,,,
0.9296875,8,,,
0.984375,9,,,
0.7578125,10,,,
0.90625,11,,,
0.765625,12,,,
0.7578125,13,,,
0.7265625,14,,,
0.796875,15,,,
0.875,16,,,
0.8046875,17,,,
0.7734375,18,,,
0.9296875,19,,,
0.90625,20,,,
0.734375,21,,,
0.9140625,22,,,
0.703125,23,,,
0.8125,24,,,
0.7578125,25,,,
0.6484375,26,,,
0.96875,27,,,
0.7265625,28,,,
0.859375,29,,,
0.78125,30,,,
0.921875,31,,,
0.9453125,32,,,
0.8828125,33,,,
0.9921875,34,,,
0.96875,35,,,
0.984375,36,,,
0.9609375,37,,,
0.890625,38,,,
0.890625,39,,,
0.90625,40,,,
0.890625,41,,,
0.859375,42,,,
0.9140625,43,,,
0.9140625,44,,,
0.90625,45,,,
0.796875,46,,,
0.8515625,47,,,
0.875,48,,,
0.890625,49,,,
0.96875,50,,,
0.921875,51,,,
0.8828125,52,,,
0.96875,53,,,
0.953125,54,,,
0.9453125,55,,,
0.9765625,56,,,
0.96875,57,,,
0.9375,58,,,
0.828125,59,,,
0.7890625,60,,,
0.890625,61,,,
0.875,62,,,
0.7734375,63,,,
0.7890625,64,,,
0.59375,65,,,
0.890625,66,,,
0.8203125,67,,,
0.8515625,68,,,
0.921875,69,,,
0.8125,70,,,
0.890625,71,,,
0.8125,72,,,
0.8203125,73,,,
0.859375,74,,,
0.71875,75,,,
0.859375,76,,,
0.859375,77,,,
0.8046875,78,,,
0.890625,79,,,
0.8515625,80,,,
0.875,81,,,
0.8984375,82,,,
0.890625,83,,,
0.9453125,84,,,
0.8984375,85,,,
0.8046875,86,,,
0.890625,87,,,
0.765625,88,,,
0.9296875,89,,,
0.734375,90,,,
0.8671875,91,,,
0.8203125,92,,,
0.765625,93,,,
0.7265625,94,,,
0.90625,95,,,
0.828125,96,,,
0.671875,97,,,
0.921875,98,,,
0.9765625,99,,,
0.9375,100,,,
0.9375,101,,,
0.96875,102,,,
0.78125,103,,,
0.8046875,104,,,
0.828125,105,,,
0.7265625,106,,,
0.96875,107,,,
0.7421875,108,,,
0.8359375,109,,,
0.640625,110,,,
0.8125,111,,,
0.8671875,112,,,
0.8984375,113,,,
0.953125,114,,,
0.9296875,115,,,
0.828125,116,,,
0.9453125,117,,,
0.71875,118,,,
0.8984375,119,,,
0.921875,120,,,
0.7578125,121,,,
0.7890625,122,,,
0.9296875,123,,,
0.8515625,124,,,
0.9765625,125,,,
0.9765625,126,,,
0.9453125,127,,,
0.875,128,,,
0.90625,129,,,
0.9765625,130,,,
0.8984375,131,,,
0.9609375,132,,,
0.8046875,133,,,
0.9140625,134,,,
0.84375,135,,,
0.8125,136,,,
0.8984375,137,,,
0.9375,138,,,
0.6875,139,,,
0.75,140,,,
0.9375,141,,,
0.953125,142,,,
0.8671875,143,,,
0.8359375,144,,,
0.8203125,145,,,
0.8984375,146,,,
0.8671875,147,,,
0.78125,148,,,
0.7109375,149,,,
0.8046875,150,,,
0.8984375,151,,,
0.8359375,152,,,
0.9453125,153,,,
0.9140625,154,,,
0.8984375,155,,,
0.7578125,156,,,
0.8359375,157,,,
0.8359375,158,,,
0.796875,159,,,
0.8515625,160,,,
0.640625,161,,,
0.734375,162,,,
0.84375,163,,,
0.8359375,164,,,
0.78125,165,,,
0.8828125,166,,,
0.7890625,167,,,
0.890625,168,,,
0.8046875,169,,,
0.6640625,170,,,
0.796875,171,,,
0.7734375,172,,,
0.75,173,,,
0.7109375,174,,,
0.9140625,175,,,
0.875,176,,,
0.7109375,177,,,
0.8359375,178,,,
0.75,179,,,
0.578125,180,,,
0.6953125,181,,,
0.8671875,182,,,
0.75,183,,,
0.890625,184,,,
0.84375,185,,,
0.8203125,186,,,
0.625,187,,,
0.546875,188,,,
0.7265625,189,,,
0.6640625,190,,,
0.8359375,191,,,
0.6484375,192,,,
0.875,193,,,
0.75,194,,,
0.6875,195,,,
0.6875,196,,,
0.671875,197,,,
0.8203125,198,,,
0.859375,199,,,
0.890625,200,,,
0.65625,201,,,
0.828125,202,,,
0.859375,203,,,
0.734375,204,,,
0.7265625,205,,,
0.828125,206,,,
0.703125,207,,,
0.78125,208,,,
0.8359375,209,,,
0.84375,210,,,
0.7421875,211,,,
0.7890625,212,,,
0.8359375,213,,,
0.8125,214,,,
0.84375,215,,,
0.953125,216,,,
0.75,217,,,
0.765625,218,,,
0.9453125,219,,,
0.890625,220,,,
0.765625,221,,,
0.921875,222,,,
0.8671875,223,,,
0.921875,224,,,
0.90625,225,,,
0.8359375,226,,,
0.796875,227,,,
0.71875,228,,,
0.78125,229,,,
0.7109375,230,,,
0.8671875,231,,,
0.8828125,232,,,
0.7578125,233,,,
0.625,234,,,
0.8984375,235,,,
0.9453125,236,,,
0.84375,237,,,
0.8671875,238,,,
0.9296875,239,,,
0.8515625,240,,,
0.6640625,241,,,
0.609375,242,,,
0.609375,243,,,
0.859375,244,,,
0.890625,245,,,
0.796875,246,,,
0.640625,247,,,
0.734375,248,,,
0.4453125,249,,,
0.921875,250,,,
0.828125,251,,,
0.921875,252,,,
0.8125,253,,,
0.7265625,254,,,
0.78125,255,,,
0.5625,256,,,
0.765625,257,,,
0.8046875,258,,,
0.6015625,259,,,
0.8125,260,,,
0.96875,261,,,
0.90625,262,,,
0.6796875,263,,,
0.7421875,264,,,
0.8984375,265,,,
0.625,266,,,
0.8828125,267,,,
0.875,268,,,
0.703125,269,,,
0.671875,270,,,
0.84375,271,,,
0.828125,272,,,
0.8984375,273,,,
0.84375,274,,,
0.71875,275,,,
0.78125,276,,,
0.828125,277,,,
0.84375,278,,,
0.859375,279,,,
0.75,280,,,
0.890625,281,,,
0.90625,282,,,
0.78125,283,,,
0.7734375,284,,,
0.78125,285,,,
0.765625,286,,,
0.7734375,287,,,
0.859375,288,,,
0.7421875,289,,,
0.5234375,290,,,
0.8125,291,,,
0.7734375,292,,,
0.828125,293,,,
0.8046875,294,,,
0.9140625,295,,,
0.8359375,296,,,
0.75,297,,,
0.78125,298,,,
0.84375,299,,,
0.859375,300,,,
0.8359375,301,,,
0.78125,302,,,
0.7734375,303,,,
0.8515625,304,,,
0.65625,305,,,
0.7734375,306,,,
0.859375,307,,,
0.828125,308,,,
0.859375,309,,,
0.84375,310,,,
0.7890625,311,,,
0.8046875,312,,,
0.9609375,313,,,
0.78125,314,,,
0.7890625,315,,,
0.609375,316,,,
0.75,317,,,
0.8984375,318,,,
0.53125,319,,,
0.921875,320,,,
0.8828125,321,,,
0.75,322,,,
0.75,323,,,
0.828125,324,,,
0.859375,325,,,
0.59375,326,,,
0.609375,327,,,
0.6484375,328,,,
0.84375,329,,,
0.6640625,330,,,
0.6875,331,,,
0.828125,332,,,
0.9140625,333,,,
0.6875,334,,,
0.78125,335,,,
0.7109375,336,,,
0.8515625,337,,,
0.8203125,338,,,
0.75,339,,,
0.8203125,340,,,
0.9453125,341,,,
0.703125,342,,,
0.8984375,343,,,
0.828125,344,,,
0.65625,345,,,
0.8046875,346,,,
0.875,347,,,
0.7578125,348,,,
0.8046875,349,,,
0.859375,350,,,
0.625,351,,,
0.8359375,352,,,
0.71875,353,,,
0.5859375,354,,,
0.671875,355,,,
0.8046875,356,,,
0.90625,357,,,
0.90625,358,,,
0.8515625,359,,,
0.75,360,,,
0.765625,361,,,
0.8359375,362,,,
0.78125,363,,,
0.875,364,,,
0.828125,365,,,
0.90625,366,,,
0.875,367,,,
0.796875,368,,,
0.875,369,,,
0.703125,370,,,
0.84375,371,,,
0.90625,372,,,
0.96875,373,,,
0.9296875,374,,,
0.640625,375,,,
0.796875,376,,,
0.765625,377,,,
0.5703125,378,,,
0.8125,379,,,
0.7890625,380,,,
0.6171875,381,,,
0.7109375,382,,,
0.859375,383,,,
0.953125,384,,,
0.828125,385,,,
0.9921875,386,,,
0.9375,387,,,
0.96875,388,,,
0.8125,389,,,
0.5874999761581421,390,,,
,0,0.7946301698684692,0.8206200003623962,0
